pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_ASTHMA,2.6592821766419675e-7,1.0631810142214585e-5,0.674962860011025,0.8135414164503549,2.2609706861880587,23,
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,1.1795539200596966e-7,5.3431354616344755e-6,0.7049757151672383,0.7364831811862923,2.2586867087701243,38,
WP_HEART_DEVELOPMENT,1.6070376957135026e-7,6.556057864757737e-6,0.6901324587967956,0.7338434557052023,2.2505910549775474,38,
WP_IL1_AND_MEGAKARYOCYTES_IN_OBESITY,7.482460869268001e-7,2.6709712995833453e-5,0.6594443980379349,0.8075061037806102,2.232451381595678,22,
WP_ACUTE_VIRAL_MYOCARDITIS,7.162338911602398e-9,5.113398387247569e-7,0.7614608014455848,0.638640726735151,2.232374156395736,80,
REACTOME_PD_1_SIGNALING,1.6077063247904246e-6,4.5264858355719136e-5,0.6435518361507222,0.8151904418736458,2.2289954075457694,21,
WP_PROSTAGLANDIN_SIGNALING,1.0324384905589468e-6,3.4980415976734483e-5,0.6435518361507222,0.7695992541133839,2.213898795570171,28,
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,1.4872356752056693e-7,6.325498116459858e-6,0.6901324587967956,0.6995853011080503,2.2110898655975895,44,
PID_IL4_2PATHWAY,8.255457639337341e-8,3.92920471929413e-6,0.7049757151672383,0.6649303062109924,2.2056119589367724,58,
WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX,2.892490875970098e-6,7.319100330461045e-5,0.6272567397185284,0.8134784046329159,2.2000085541294947,19,
WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE,7.434203915587299e-8,3.6246277139656125e-6,0.7049757151672383,0.6583283529813122,2.1969553623007947,60,
WP_PLATELETMEDIATED_INTERACTIONS_WITH_VASCULAR_AND_CIRCULATING_CELLS,5.400253057269138e-7,1.9990936780520383e-5,0.6594443980379349,0.867964972361439,2.1911458834559503,15,
KEGG_GRAFT_VERSUS_HOST_DISEASE,1.4831665541309884e-6,4.2968839734896316e-5,0.6435518361507222,0.7447655983496979,2.1893597538177896,31,
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,9.035472789424463e-7,3.1141224320792246e-5,0.6594443980379349,0.6898734725097035,2.174739788313354,43,
REACTOME_DISEASES_OF_IMMUNE_SYSTEM,2.7302267404200175e-6,6.997081094999506e-5,0.6272567397185284,0.754135202865662,2.167183737262644,27,
BIOCARTA_COMP_PATHWAY,3.643723246039239e-6,8.775665986545106e-5,0.6272567397185284,0.8427718490160991,2.1588786036790855,16,
WP_GENES_CONTROLLING_NEPHROGENESIS,1.7181509007313915e-6,4.770255070225071e-5,0.6435518361507222,0.6952071437436849,2.1575609091330645,40,
WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION,1.1588542029535945e-6,3.797622215908582e-5,0.6435518361507222,0.655495117142934,2.1529707911826472,53,
KEGG_ALLOGRAFT_REJECTION,3.894052841446768e-6,9.26691860720487e-5,0.610526878385931,0.7323605548196378,2.152893108326574,31,
WP_NRP1TRIGGERED_SIGNALING_PATHWAYS_IN_PANCREATIC_CANCER,1.2693410996548558e-6,4.027639457476281e-5,0.6435518361507222,0.6537933633113553,2.1473813883063277,53,
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.0671468456834125e-7,4.960991964002655e-6,0.7049757151672383,0.6025896450517778,2.135462278978103,88,
WP_COMPLEMENT_ACTIVATION,1.4407041595717193e-5,2.823497661748889e-4,0.5933254763964051,0.7887202179828431,2.1330513711180124,19,
WP_GLUCOCORTICOID_RECEPTOR_PATHWAY,5.126164185081797e-7,1.9334343784865116e-5,0.6594443980379349,0.628366238363011,2.1248392311783904,67,
WP_COPPER_HOMEOSTASIS,2.26172144669448e-6,6.08773702256254e-5,0.6272567397185284,0.6504293574022229,2.124612902998296,51,
PID_SMAD2_3NUCLEAR_PATHWAY,7.45454879989204e-7,2.6709712995833453e-5,0.6594443980379349,0.6082045681086901,2.1241934789889374,79,
PID_P53_DOWNSTREAM_PATHWAY,3.3814762292239084e-8,1.931305994919598e-6,0.7195128263389107,0.5586796615761346,2.1222102825182576,134,
PID_INTEGRIN1_PATHWAY,1.3447097046647293e-6,4.07284045397696e-5,0.6435518361507222,0.6288782126843426,2.114431639444995,63,
REACTOME_IRAK4_DEFICIENCY_TLR2_4,7.038076079348687e-6,1.5632348980686695e-4,0.610526878385931,0.8375317327448146,2.11431828115678,15,
WP_TOLLLIKE_RECEPTOR_SIGNALING_PATHWAY,1.2028068823089115e-7,5.3431354616344755e-6,0.6901324587967956,0.5946879111816884,2.1090858806533075,89,
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,1.1918123162791448e-5,2.358844376477238e-4,0.5933254763964051,0.670468047045575,2.1077939171187285,41,
KEGG_CHEMOKINE_SIGNALING_PATHWAY,4.301942573788715e-9,3.4398332820014567e-7,0.7614608014455848,0.5423675499510311,2.1032519624668082,160,
SA_MMP_CYTOKINE_CONNECTION,1.1532896630353576e-5,2.3369019970308037e-4,0.5933254763964051,0.8321836266962277,2.100817182695669,15,
WP_MESODERMAL_COMMITMENT_PATHWAY,6.124461095525258e-9,4.708768357674996e-7,0.7614608014455848,0.5509388835679642,2.095414512931148,141,
WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE,4.1080374954068445e-5,6.786749548196927e-4,0.557332238758646,0.7668438528473831,2.09250987546253,20,
PID_CXCR4_PATHWAY,3.718222378742634e-7,1.4293704875204856e-5,0.674962860011025,0.5761401783579407,2.084395746698014,99,
KEGG_PRIMARY_IMMUNODEFICIENCY,1.609807828694651e-5,3.035854575057177e-4,0.5756102610711286,0.7106663890034841,2.0791647242408287,30,
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,2.3648368067805833e-6,6.13936204773297e-5,0.6272567397185284,0.6129776986865862,2.0728024239492235,67,
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,4.7809999130759823e-8,2.5830321151996997e-6,0.7195128263389107,0.5387245371888738,2.071389544053757,148,
SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES,3.928879092627155e-5,6.647276756323548e-4,0.557332238758646,0.6849070521033518,2.0666117718032924,35,
WP_LUNG_FIBROSIS,1.5000618213754569e-5,2.883291904739941e-4,0.5933254763964051,0.6271958793440165,2.065533655300203,54,
WP_ENDOCHONDRAL_OSSIFICATION,2.3144973172323813e-6,6.08773702256254e-5,0.6272567397185284,0.6182618981730625,2.0632466858618423,60,
WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS,2.3144973172323813e-6,6.08773702256254e-5,0.6272567397185284,0.6182618981730625,2.0632466858618423,60,
BIOCARTA_TOB1_PATHWAY,4.822347733272032e-5,7.837295218545361e-4,0.557332238758646,0.804367897174744,2.0605014805895836,16,
WP_MIRNA_TARGETS_IN_ECM_AND_MEMBRANE_RECEPTORS,9.815221425070571e-5,0.0013347365733820458,0.5384340963099162,0.7161133565457879,2.060305776863763,25,
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION,6.639722506779717e-5,0.001028899634965322,0.5384340963099162,0.7902278066723799,2.05481945004107,17,
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,7.104031445123776e-5,0.00109238145067711,0.5384340963099162,0.7889603322745564,2.0515236522684708,17,
REACTOME_INTERFERON_GAMMA_SIGNALING,1.1794398251078322e-6,3.802742274823478e-5,0.6435518361507222,0.5804968448022465,2.049190701349032,86,
WP_SELECTIVE_EXPRESSION_OF_CHEMOKINE_RECEPTORS_DURING_TCELL_POLARIZATION,8.844321161912094e-5,0.0012450561973705828,0.5384340963099162,0.7563199401448117,2.0454265638780376,19,
WP_APOPTOSIS_MODULATION_AND_SIGNALING,1.1129622358046155e-6,3.708019182289044e-5,0.6435518361507222,0.5792013154576032,2.044694457634768,87,
WP_MIR5093P_ALTERATION_OF_YAP1ECM_AXIS,8.496960579137127e-5,0.001221972963862958,0.5384340963099162,0.7845876062740683,2.040153307717651,17,
REACTOME_DAP12_INTERACTIONS,2.6351025326440088e-5,4.7886999661412487e-4,0.5756102610711286,0.6644410169402373,2.037743878016683,38,
"NABA_SECRETED_FACTORS",7.16167189856037e-11,9.544121416814788e-9,0.8390889356212738,0.5039073209760413,2.03054340684981,262,
PID_TOLL_ENDOGENOUS_PATHWAY,1.104650815574749e-4,0.0014820113961972639,0.5384340963099162,0.7342326104136185,2.029877666380858,22,
WP_HEPATITIS_C_AND_HEPATOCELLULAR_CARCINOMA,3.581097208063008e-5,6.279485367471889e-4,0.557332238758646,0.6274737985019245,2.0253531411334245,48,
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,8.911787173301316e-6,1.9155551139171323e-4,0.5933254763964051,0.5798406703711412,2.0251307461979478,79,
PID_PTP1B_PATHWAY,3.990361234411334e-5,6.647276756323548e-4,0.557332238758646,0.6255890081248828,2.0192694351370415,48,
PID_AP1_PATHWAY,6.704443888124972e-6,1.5058632957709906e-4,0.610526878385931,0.5978298608644179,2.017774635377834,65,
REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS,6.529760104147819e-5,0.0010197648787649601,0.5384340963099162,0.6861178458167704,2.016955135059919,31,
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,2.133381295264237e-5,3.985634774984308e-4,0.5756102610711286,0.6087857711970466,2.012768681695703,56,
BIOCARTA_LAIR_PATHWAY,1.483814685796952e-4,0.0019013753569923763,0.5188480777437918,0.773383624294817,2.011019733962735,17,
WP_CELLS_AND_MOLECULES_INVOLVED_IN_LOCAL_ACUTE_INFLAMMATORY_RESPONSE,1.483814685796952e-4,0.0019013753569923763,0.5188480777437918,0.773383624294817,2.011019733962735,17,
BIOCARTA_INFLAM_PATHWAY,1.8221877412641694e-4,0.0022624554626006674,0.5188480777437918,0.7267074827245654,2.0090735119262253,22,
BIOCARTA_NKT_PATHWAY,1.7824404490685605e-4,0.002226936536055033,0.5188480777437918,0.7697804593983164,2.001650469494288,17,
WP_HAIR_FOLLICLE_DEVELOPMENT_CYTODIFFERENTIATION_PART_3_OF_3,1.1573451611108033e-5,2.3369019970308037e-4,0.5933254763964051,0.5840361190821025,2.0005598959740176,74,
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE,7.696774905791785e-5,0.0011481979878117745,0.5384340963099162,0.6689562624041052,2.0003553927503894,34,
PID_AMB2_NEUTROPHILS_PATHWAY,4.448853067552916e-5,7.289555149211704e-4,0.557332238758646,0.6445432043912872,2.0003264272478742,40,
WP_PHOTODYNAMIC_THERAPYINDUCED_NFKB_SURVIVAL_SIGNALING,9.248533773655058e-5,0.001275022000933549,0.5384340963099162,0.6802744681134294,1.9997775747665878,31,
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION,8.124373511669107e-5,0.001185446908746463,0.5384340963099162,0.7084841212011096,1.9991387458574839,24,
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,3.684916157739652e-5,6.405345564627447e-4,0.557332238758646,0.6755997740847715,1.9989296580942106,33,
KEGG_AUTOIMMUNE_THYROID_DISEASE,7.800699772955936e-5,0.00115508139601029,0.5384340963099162,0.6469993918422726,1.9960063780728663,39,
WP_ANTIVIRAL_AND_ANTIINFLAMMATORY_EFFECTS_OF_NRF2_ON_SARSCOV2_PATHWAY,2.0481328121595396e-4,0.002511789872090135,0.5188480777437918,0.6928264105899016,1.993047092686252,28,
WP_FIBRIN_COMPLEMENT_RECEPTOR_3_SIGNALING_PATHWAY,8.312216134962235e-5,0.0012040666705644572,0.5384340963099162,0.6550749478232887,1.9924389843319619,36,
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,2.2878774328623782e-6,6.08773702256254e-5,0.6272567397185284,0.554880827863427,1.9915832472142911,97,
KEGG_TYPE_I_DIABETES_MELLITUS,3.990269628050158e-5,6.647276756323548e-4,0.557332238758646,0.6496127550967451,1.9862697240177194,37,
PID_AVB3_OPN_PATHWAY,1.2243217628201813e-4,0.0016208074197864518,0.5188480777437918,0.6751907344708219,1.9848331118900568,31,
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.572793618728667e-5,2.994299470322481e-4,0.5756102610711286,0.5793086208354583,1.9843663026473106,74,
REACTOME_PARASITE_INFECTION,3.815366304628117e-5,6.574928657716901e-4,0.557332238758646,0.5890571324975862,1.9805441073831764,63,
REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,1.4180961935025095e-4,0.001852793654125174,0.5188480777437918,0.6734509646923197,1.9797187753224155,31,
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,2.9496468868223016e-4,0.0032576486888164537,0.49849310876659025,0.7459118688974468,1.9785931408968345,18,
WP_ZINC_HOMEOSTASIS,2.1789036909908833e-4,0.002639774835327743,0.5188480777437918,0.6542570024755824,1.9741295099071992,35,
WP_NUCLEOTIDEBINDING_OLIGOMERIZATION_DOMAIN_NOD_PATHWAY,1.0474454620834521e-4,0.0014147591072329868,0.5384340963099162,0.6436816071706991,1.9740777901464321,38,
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,3.4146208910634453e-6,8.426947112636824e-5,0.6272567397185284,0.5497579546729385,1.971240480077646,95,
PID_IL6_7_PATHWAY,3.457460048283894e-5,6.1709487826067e-4,0.557332238758646,0.6233761020480737,1.970225188423936,44,
WP_HAIR_FOLLICLE_DEVELOPMENT_ORGANOGENESIS_PART_2_OF_3,1.7527982343229647e-4,0.002203675264409815,0.5188480777437918,0.6698177470315466,1.9690383403761953,31,
WP_EBOLA_VIRUS_INFECTION_IN_HOST,1.39534642404362e-6,4.163130599497308e-5,0.6435518361507222,0.5252321582661723,1.9658495024857652,126,
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,1.472446899111919e-6,4.2968839734896316e-5,0.6435518361507222,0.5247351265992795,1.962996882542563,124,
BIOCARTA_CSK_PATHWAY,3.4616852671970187e-4,0.0037004860155758503,0.49849310876659025,0.7246960809762211,1.9599015391333663,19,
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,7.488245941339377e-5,0.0011254889952434146,0.5384340963099162,0.6011782074423737,1.9566999868922197,49,
KEGG_TGF_BETA_SIGNALING_PATHWAY,1.176528795019789e-5,2.351881061244558e-4,0.5933254763964051,0.5569537406508706,1.9549798574944488,82,
WP_INTERACTIONS_BETWEEN_IMMUNE_CELLS_AND_MICRORNAS_IN_TUMOR_MICROENVIRONMENT,4.709846964800944e-4,0.004504689963510438,0.49849310876659025,0.6771977860129353,1.9480883782092935,28,
BIOCARTA_TH1TH2_PATHWAY,3.9153131219251975e-4,0.003993219862616566,0.49849310876659025,0.7600186353984059,1.946894610059111,16,
REACTOME_SYNDECAN_INTERACTIONS,2.5890393791274644e-4,0.003009005650509187,0.49849310876659025,0.6774347336008644,1.9467670149037843,27,
KEGG_JAK_STAT_SIGNALING_PATHWAY,3.4977436097352188e-6,8.526816433976467e-5,0.6272567397185284,0.5235543682167793,1.9457032413685276,117,
REACTOME_ELASTIC_FIBRE_FORMATION,5.685617419272361e-5,9.020277159623374e-4,0.557332238758646,0.6155449047007612,1.9454741236678412,44,
WP_CHEMOKINE_SIGNALING_PATHWAY,1.5384103616653441e-6,4.393260447098604e-5,0.6435518361507222,0.5068152472111259,1.9447986699220299,146,
WP_MYD88_DISTINCT_INPUTOUTPUT_PATHWAY,4.644582272686222e-4,0.004485275344492636,0.49849310876659025,0.7329437240073233,1.9441940602552015,18,
WP_BMP_SIGNALING_IN_EYELID_DEVELOPMENT,5.355450230495456e-4,0.004956270838315007,0.47727081536286214,0.7123862565274298,1.9439097951849966,20,
WP_EXTRACELLULAR_VESICLES_IN_THE_CROSSTALK_OF_CARDIAC_CELLS,4.278746353160477e-4,0.0042342643366177195,0.49849310876659025,0.7187235923476349,1.9437492651485888,19,
PID_IL12_STAT4_PATHWAY,2.679566547195045e-4,0.0030784215677258017,0.49849310876659025,0.6680733383947053,1.9418849573968855,29,
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,2.751500153735429e-4,0.0030900274198410803,0.49849310876659025,0.667669024305414,1.9407097399425488,29,
BIOCARTA_CTCF_PATHWAY,2.4660886731091557e-4,0.002899830151497178,0.49849310876659025,0.6871801544644512,1.939025069249588,24,
WP_SPINAL_CORD_INJURY,4.543305949685032e-6,1.0560544876070208e-4,0.610526878385931,0.5252952714296817,1.9358583832850216,112,
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,7.20175725450833e-5,0.0010988735569597632,0.5384340963099162,0.6116462812150396,1.9331522425971464,44,
REACTOME_RUNX2_REGULATES_BONE_DEVELOPMENT,2.9918208689199777e-4,0.0032860713829511185,0.49849310876659025,0.6557152849387967,1.9275818566126819,31,
WP_VITAMIN_D_RECEPTOR_PATHWAY,1.3433074509318996e-6,4.07284045397696e-5,0.6435518361507222,0.4985722586157211,1.92576149749606,153,
PID_FCER1_PATHWAY,9.114253929833272e-5,0.001274083468932637,0.5384340963099162,0.579706986011834,1.925033343603838,57,
WP_CCL18_SIGNALING_PATHWAY,2.143274189285867e-4,0.002612442136818566,0.5188480777437918,0.5962032283491818,1.924418332962791,48,
PID_BCR_5PATHWAY,9.222861916563926e-5,0.001275022000933549,0.5384340963099162,0.5735076789741633,1.9242644137083282,62,
PID_IL12_2PATHWAY,1.1195296005245878e-4,0.0014919597809657673,0.5384340963099162,0.5806584963832199,1.919774231882265,56,
WP_OXIDATIVE_DAMAGE_RESPONSE,1.968313008246382e-4,0.0024288010515336527,0.5188480777437918,0.618204195009209,1.9185838595261981,40,
WP_THYMIC_STROMAL_LYMPHOPOIETIN_TSLP_SIGNALING_PATHWAY,9.734474946418298e-5,0.0013328229738280943,0.5384340963099162,0.6055737141411244,1.9139594558218538,44,
PID_PI3KCI_PATHWAY,1.453003136728741e-4,0.0018860735521563333,0.5188480777437918,0.5925310933940904,1.9086654645833112,47,
WP_MEASLES_VIRUS_INFECTION,7.300655927831835e-6,1.6037374944764658e-4,0.610526878385931,0.5106533856390195,1.9082201740067235,123,
REACTOME_LEISHMANIA_INFECTION,6.623908668324982e-8,3.3102983569954097e-6,0.7049757151672383,0.47805253557740884,1.9070219925004772,229,
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,9.973465131996827e-6,2.0553563710166658e-4,0.5933254763964051,0.5147873673518764,1.906132001474338,113,
WP_TRANSCRIPTION_COFACTORS_SKI_AND_SKIL_PROTEIN_PARTNERS,9.1832499265172e-4,0.007462323822401579,0.47727081536286214,0.7179612574725064,1.9044518242678279,18,
WP_PI3KAKT_SIGNALING_PATHWAY,2.583512491885126e-9,2.151850613032653e-7,0.7749390301364363,0.4631486048137271,1.90195494396625,305,
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,2.2791862321268885e-8,1.4237791493817657e-6,0.7337619883564803,0.46766960397323276,1.898303001996765,279,
BIOCARTA_ALK_PATHWAY,4.4838326367687e-4,0.004398774458889686,0.49849310876659025,0.6343412986004605,1.8968475352028173,34,
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,9.627159952310147e-6,2.0046554942362483e-4,0.5933254763964051,0.5202719000060451,1.8959395497469642,106,
REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY,8.80421149287446e-5,0.0012450561973705828,0.5384340963099162,0.561956220380339,1.8916559465240699,66,
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,3.494126464682557e-5,6.18120248044286e-4,0.557332238758646,0.5313607323545162,1.8877929294091718,90,
WP_APOPTOSIS,3.319422174201968e-5,5.977950383990751e-4,0.557332238758646,0.5369387043959268,1.8843446542153806,83,
WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS,5.60725753924832e-4,0.005141700835301556,0.47727081536286214,0.6140201743189672,1.8831104933272833,38,
PID_INTEGRIN_CS_PATHWAY,0.0010798890148237435,0.00843241461184634,0.45505986738722953,0.655047779952513,1.882943912024583,26,
PID_UPA_UPAR_PATHWAY,5.848944865673541e-4,0.005314563993855185,0.47727081536286214,0.6186463029256806,1.8816396742964336,36,
KEGG_CELL_ADHESION_MOLECULES_CAMS,5.562963508171347e-6,1.2782027646936233e-4,0.610526878385931,0.5025535584575549,1.8786066391081973,122,
WP_INFLAMMATORY_RESPONSE_PATHWAY,0.00138178132352466,0.01030664502136491,0.45505986738722953,0.6528991389568055,1.878434266595157,25,
WP_TOLLLIKE_RECEPTOR_SIGNALING_RELATED_TO_MYD88,7.627979784902185e-4,0.00646115745339808,0.47727081536286214,0.6455847336100915,1.8765174583001256,29,
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,0.001265338494684626,0.009617534794199875,0.45505986738722953,0.72145923867998,1.8760014055871628,17,
KEGG_HEDGEHOG_SIGNALING_PATHWAY,4.007610989574969e-4,0.00405766118036544,0.49849310876659025,0.5695824819096281,1.8757964211822427,54,
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS,8.678520681471028e-4,0.007289228084983439,0.47727081536286214,0.6526292747220639,1.875482732094552,27,
WP_NEOVASCULARISATION_PROCESSES,2.7940663633966743e-4,0.003120300927614498,0.49849310876659025,0.6127606862889385,1.8735900576071318,37,
REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0.001709539631544877,0.01207008138936193,0.45505986738722953,0.6865951489155895,1.873532824467291,20,
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,4.156519519448871e-4,0.004154441259689146,0.49849310876659025,0.6341597490054036,1.8720598696767392,32,
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,3.817575867648319e-4,0.00394950424497957,0.49849310876659025,0.5613967075441271,1.8719908318650298,59,
WP_IL18_SIGNALING_PATHWAY,6.386930267603748e-8,3.2737111807538187e-6,0.7049757151672383,0.46547584775671563,1.8707509113939582,253,
WP_ANGIOGENESIS,7.117994243960222e-4,0.0061068113706766024,0.47727081536286214,0.6618048215127963,1.8674231662927712,24,
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,3.068327259345782e-4,0.003333470756213162,0.49849310876659025,0.6105019965977586,1.8666838401501278,37,
WP_DEVELOPMENT_AND_HETEROGENEITY_OF_THE_ILC_FAMILY,0.0010755385927003272,0.008431379007090015,0.45505986738722953,0.6485024252322031,1.8636232656930742,27,
